score	tpr	fpr	tp	tn	fp	fn
-53.9947	0.1594	0.0270	290.0000	108.0000	3.0000	1529.0000
-53.9517	0.1308	0.0270	238.0000	108.0000	3.0000	1581.0000
-53.9086	0.1028	0.0270	187.0000	108.0000	3.0000	1632.0000
-53.8655	0.1028	0.0270	187.0000	108.0000	3.0000	1632.0000
-53.8224	0.0836	0.0270	152.0000	108.0000	3.0000	1667.0000
-53.7793	0.0742	0.0180	135.0000	109.0000	2.0000	1684.0000
-53.7362	0.0555	0.0180	101.0000	109.0000	2.0000	1718.0000
-53.6931	0.0473	0.0090	86.0000	110.0000	1.0000	1733.0000
-53.6501	0.0473	0.0090	86.0000	110.0000	1.0000	1733.0000
-53.6070	0.0396	0.0090	72.0000	110.0000	1.0000	1747.0000
-53.5639	0.0297	0.0090	54.0000	110.0000	1.0000	1765.0000
-53.5208	0.0165	0.0000	30.0000	111.0000	0.0000	1789.0000
-53.4777	0.0165	0.0000	30.0000	111.0000	0.0000	1789.0000
-53.4346	0.0165	0.0000	30.0000	111.0000	0.0000	1789.0000
-53.3916	0.0165	0.0000	30.0000	111.0000	0.0000	1789.0000
-53.3485	0.0082	0.0000	15.0000	111.0000	0.0000	1804.0000
-53.3054	0.0000	0.0000	0.0000	111.0000	0.0000	1819.0000
-53.2623	0.0000	0.0000	0.0000	111.0000	0.0000	1819.0000
