score	tpr	fpr	tp	tn	fp	fn
-57.7000	1.0000	1.0000	1816.0000	0.0000	114.0000	0.0000
-57.6569	1.0000	1.0000	1816.0000	0.0000	114.0000	0.0000
-57.6138	0.9994	1.0000	1815.0000	0.0000	114.0000	1.0000
-57.5707	0.9994	1.0000	1815.0000	0.0000	114.0000	1.0000
-57.5277	0.9994	1.0000	1815.0000	0.0000	114.0000	1.0000
-57.4846	0.9994	0.9912	1815.0000	1.0000	113.0000	1.0000
-57.4415	0.9994	0.9912	1815.0000	1.0000	113.0000	1.0000
-57.3984	0.9994	0.9912	1815.0000	1.0000	113.0000	1.0000
-57.3553	0.9983	0.9825	1813.0000	2.0000	112.0000	3.0000
-57.3122	0.9983	0.9825	1813.0000	2.0000	112.0000	3.0000
-57.2692	0.9983	0.9825	1813.0000	2.0000	112.0000	3.0000
-57.2261	0.9983	0.9649	1813.0000	4.0000	110.0000	3.0000
-57.1830	0.9978	0.9649	1812.0000	4.0000	110.0000	4.0000
-57.1399	0.9978	0.9561	1812.0000	5.0000	109.0000	4.0000
-57.0968	0.9972	0.9561	1811.0000	5.0000	109.0000	5.0000
-57.0537	0.9972	0.9561	1811.0000	5.0000	109.0000	5.0000
-57.0106	0.9967	0.9474	1810.0000	6.0000	108.0000	6.0000
-56.9676	0.9961	0.9474	1809.0000	6.0000	108.0000	7.0000
-56.9245	0.9956	0.9386	1808.0000	7.0000	107.0000	8.0000
-56.8814	0.9956	0.9386	1808.0000	7.0000	107.0000	8.0000
-56.8383	0.9956	0.9386	1808.0000	7.0000	107.0000	8.0000
-56.7952	0.9950	0.9298	1807.0000	8.0000	106.0000	9.0000
-56.7521	0.9945	0.9123	1806.0000	10.0000	104.0000	10.0000
-56.7091	0.9934	0.9123	1804.0000	10.0000	104.0000	12.0000
-56.6660	0.9928	0.9123	1803.0000	10.0000	104.0000	13.0000
-56.6229	0.9912	0.9035	1800.0000	11.0000	103.0000	16.0000
-56.5798	0.9912	0.8860	1800.0000	13.0000	101.0000	16.0000
-56.5367	0.9906	0.8772	1799.0000	14.0000	100.0000	17.0000
-56.4936	0.9901	0.8684	1798.0000	15.0000	99.0000	18.0000
-56.4506	0.9890	0.8596	1796.0000	16.0000	98.0000	20.0000
-56.4075	0.9890	0.8509	1796.0000	17.0000	97.0000	20.0000
-56.3644	0.9868	0.8333	1792.0000	19.0000	95.0000	24.0000
-56.3213	0.9862	0.8333	1791.0000	19.0000	95.0000	25.0000
-56.2782	0.9835	0.8070	1786.0000	22.0000	92.0000	30.0000
-56.2351	0.9818	0.8070	1783.0000	22.0000	92.0000	33.0000
-56.1920	0.9791	0.8070	1778.0000	22.0000	92.0000	38.0000
-56.1490	0.9758	0.7982	1772.0000	23.0000	91.0000	44.0000
-56.1059	0.9747	0.7895	1770.0000	24.0000	90.0000	46.0000
