score	tpr	fpr	ppv	tp	tn	fp	fn
-54.4256	0.3376	0.0702	0.9871	613.0000	106.0000	8.0000	1203.0000
-54.3825	0.3166	0.0702	0.9863	575.0000	106.0000	8.0000	1241.0000
-54.3394	0.2985	0.0702	0.9855	542.0000	106.0000	8.0000	1274.0000
-54.2963	0.2731	0.0702	0.9841	496.0000	106.0000	8.0000	1320.0000
-54.2532	0.2494	0.0702	0.9826	453.0000	106.0000	8.0000	1363.0000
-54.2102	0.2241	0.0614	0.9831	407.0000	107.0000	7.0000	1409.0000
-54.1671	0.2219	0.0614	0.9829	403.0000	107.0000	7.0000	1413.0000
-54.1240	0.2076	0.0526	0.9843	377.0000	108.0000	6.0000	1439.0000
-54.0809	0.1933	0.0526	0.9832	351.0000	108.0000	6.0000	1465.0000
-54.0378	0.1691	0.0351	0.9871	307.0000	110.0000	4.0000	1509.0000
-53.9947	0.1399	0.0351	0.9845	254.0000	110.0000	4.0000	1562.0000
-53.9517	0.1030	0.0263	0.9842	187.0000	111.0000	3.0000	1629.0000
-53.9086	0.1030	0.0263	0.9842	187.0000	111.0000	3.0000	1629.0000
-53.8655	0.0986	0.0263	0.9835	179.0000	111.0000	3.0000	1637.0000
-53.8224	0.0837	0.0263	0.9806	152.0000	111.0000	3.0000	1664.0000
-53.7793	0.0639	0.0175	0.9831	116.0000	112.0000	2.0000	1700.0000
-53.7362	0.0474	0.0088	0.9885	86.0000	113.0000	1.0000	1730.0000
-53.6931	0.0474	0.0088	0.9885	86.0000	113.0000	1.0000	1730.0000
-53.6501	0.0474	0.0088	0.9885	86.0000	113.0000	1.0000	1730.0000
-53.6070	0.0396	0.0088	0.9863	72.0000	113.0000	1.0000	1744.0000
-53.5639	0.0297	0.0088	0.9818	54.0000	113.0000	1.0000	1762.0000
-53.5208	0.0165	0.0000	1.0000	30.0000	114.0000	0.0000	1786.0000
-53.4777	0.0165	0.0000	1.0000	30.0000	114.0000	0.0000	1786.0000
-53.4346	0.0165	0.0000	1.0000	30.0000	114.0000	0.0000	1786.0000
-53.3916	0.0165	0.0000	1.0000	30.0000	114.0000	0.0000	1786.0000
-53.3485	0.0083	0.0000	1.0000	15.0000	114.0000	0.0000	1801.0000
-53.3054	0.0000	0.0000	0.0000	0.0000	114.0000	0.0000	1816.0000
-53.2623	0.0000	0.0000	0.0000	0.0000	114.0000	0.0000	1816.0000
