score	tpr	fpr	ppv	tp	tn	fp	fn
-66.4000	1.0000	1.0000	0.4373	844.0000	0.0000	1086.0000	0.0000
-66.2260	0.9988	1.0000	0.4370	843.0000	0.0000	1086.0000	1.0000
-66.0520	0.9976	1.0000	0.4367	842.0000	0.0000	1086.0000	2.0000
-65.8780	0.9953	1.0000	0.4361	840.0000	0.0000	1086.0000	4.0000
-65.7040	0.9953	1.0000	0.4361	840.0000	0.0000	1086.0000	4.0000
-65.5300	0.9941	0.9991	0.4361	839.0000	1.0000	1085.0000	5.0000
-65.3559	0.9941	0.9991	0.4361	839.0000	1.0000	1085.0000	5.0000
-65.1819	0.9929	0.9991	0.4358	838.0000	1.0000	1085.0000	6.0000
-65.0079	0.9917	0.9991	0.4355	837.0000	1.0000	1085.0000	7.0000
-64.8339	0.9905	0.9991	0.4352	836.0000	1.0000	1085.0000	8.0000
-64.6599	0.9882	0.9991	0.4346	834.0000	1.0000	1085.0000	10.0000
-64.4859	0.9870	0.9972	0.4348	833.0000	3.0000	1083.0000	11.0000
-64.3119	0.9846	0.9972	0.4342	831.0000	3.0000	1083.0000	13.0000
-64.1379	0.9775	0.9972	0.4324	825.0000	3.0000	1083.0000	19.0000
-63.9639	0.9751	0.9963	0.4320	823.0000	4.0000	1082.0000	21.0000
-63.7899	0.9751	0.9954	0.4322	823.0000	5.0000	1081.0000	21.0000
-63.6159	0.9727	0.9936	0.4321	821.0000	7.0000	1079.0000	23.0000
-63.4418	0.9597	0.9936	0.4288	810.0000	7.0000	1079.0000	34.0000
-63.2678	0.9585	0.9926	0.4287	809.0000	8.0000	1078.0000	35.0000
-63.0938	0.9573	0.9908	0.4289	808.0000	10.0000	1076.0000	36.0000
-62.9198	0.9455	0.9880	0.4265	798.0000	13.0000	1073.0000	46.0000
-62.7458	0.9384	0.9807	0.4265	792.0000	21.0000	1065.0000	52.0000
-62.5718	0.9348	0.9761	0.4267	789.0000	26.0000	1060.0000	55.0000
-62.3978	0.9301	0.9761	0.4255	785.0000	26.0000	1060.0000	59.0000
-62.2238	0.9088	0.9705	0.4212	767.0000	32.0000	1054.0000	77.0000
-62.0498	0.9064	0.9650	0.4220	765.0000	38.0000	1048.0000	79.0000
-61.8758	0.9040	0.9576	0.4232	763.0000	46.0000	1040.0000	81.0000
-61.7018	0.8863	0.9494	0.4205	748.0000	55.0000	1031.0000	96.0000
-61.5277	0.8851	0.9392	0.4228	747.0000	66.0000	1020.0000	97.0000
-61.3537	0.8827	0.9346	0.4233	745.0000	71.0000	1015.0000	99.0000
-61.1797	0.8661	0.9217	0.4221	731.0000	85.0000	1001.0000	113.0000
-61.0057	0.8614	0.9162	0.4222	727.0000	91.0000	995.0000	117.0000
-60.8317	0.8519	0.9033	0.4229	719.0000	105.0000	981.0000	125.0000
-60.6577	0.8448	0.8950	0.4231	713.0000	114.0000	972.0000	131.0000
-60.4837	0.8306	0.8812	0.4228	701.0000	129.0000	957.0000	143.0000
-60.3097	0.8246	0.8573	0.4278	696.0000	155.0000	931.0000	148.0000
